breed,attribute_labels,popularity,height,weight,life_exp,group,image_url,puppy_link,grooming_frequency,shedding,energy_level,trainability,demeanor,colors,mask,rescue_link
affenpinscher,"Confident, Famously Funny, Fearless",Ranks 148 of 197,9-11.5 inches,7-10 pounds,12-15 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30174107/Affenpinscher-copy.jpg,https://marketplace.akc.org/puppies/affenpinscher,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Easy Training,Outgoing,"['Belge', 'Black', 'Black & Silver', 'Black & Tan', 'Red']",['Black Mask'],https://www.affenpinscher.org/
afghan-hound,"Dignified, Profoundly Loyal, Aristocratic",Ranks 113 of 197,25-27 inches,50-60 pounds,12-15 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26151212/Afghan-Hound-standing-in-a-garden.jpg,https://marketplace.akc.org/puppies/afghan-hound,Daily Brushing,Infrequent,Energetic,May be Stubborn,Aloof/Wary,"['Black', 'Black & Silver', 'Black & Tan', 'Blue', 'Blue & Cream', 'Cream', 'Red', 'Silver', 'White']","['Black Mask', 'Brindle', 'Brindle Black Mask', 'Brindle Domino', 'Domino']",https://afghanhoundclubofamerica.org
airedale-terrier,"Friendly, Clever, Courageous",Ranks 60 of 197,23 inches,50-70 pounds,11-14 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30202205/Airedale-Terrier-standing-stacked-outdoors.jpg,https://marketplace.akc.org/puppies/airedale-terrier,2-3 Times a Week Brushing,Occasional,Regular Exercise,Eager to Please,Friendly,"['Black & Tan', 'Grizzle & Tan']",[],https://airedale.org
akita,"Courageous, Dignified, Profoundly Loyal",Ranks 47 of 197,"26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10-13 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001904/Akita-On-White-01.jpg,https://marketplace.akc.org/puppies/akita,Daily Brushing,Seasonal,Energetic,Eager to Please,Alert/Responsive,"['Black', 'Brown Brindle', 'Brown, Black Overlay', 'Fawn', 'Fawn, Black Overlay', 'Red', 'Red, Black Overlay', 'Silver, Black Overlay', 'White', 'Black Brindle', 'Black, Brown Undercoat', 'Black, Fawn Undercoat', 'Black, Red Undercoat', 'Black, Silver Undercoat', 'Brown', 'Fawn Brindle', 'Red Brindle', 'Silver', 'Silver Brindle', 'White, Red Shading']","['Black Mask, White Markings', 'Black & White Mask, White Markings', 'Pinto, Black & White Mask', 'Pinto, Black Mask', 'White Mask, White Markings', 'Black Mask', 'Pinto', 'White Markings', 'White Mask']",http://akitaclub.org/
alaskan-klee-kai,"Loyal, Intelligent, Vigilant",-1,"13 inches and under (Toy), 13-15 inches (Miniature), 15-17 1/2 inches (Standard)","6-12 lbs (Toy), 10-18 lbs (Miniature), 16-25 lbs (Standard)",13-16 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2021/01/29143827/Alaskan-Klee-Kai-standing-in-the-snow-attached-to-a-harness.jpg,https://marketplace.akc.org/puppies/alaskan-klee-kai,Weekly Brushing,Seasonal,Energetic,Agreeable,Reserved with Strangers,"['Black & White', 'Gray & White', 'Red & White']",[],https://www.akkcoa.org/
alaskan-malamute,"Affectionate, Loyal, Playful",Ranks 58 of 197,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001815/Alaskan-Malamute-On-White-03.jpg,https://marketplace.akc.org/puppies/alaskan-malamute,2-3 Times a Week Brushing,Seasonal,Energetic,Independent,Friendly,"['Agouti & White', 'Black & White', 'Blue & White', 'Gray & White', 'Red & White', 'Sable & White', 'Seal & White', 'Silver & White', 'White']","['Black Markings', 'Gray Mask']",http://alaskanmalamute.org/
american-bulldog,"Loyal, Self-Confident",-1,22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/01/14144341/American-Bulldog-standing-in-three-quarter-view.jpg,https://marketplace.akc.org/puppies/american-bulldog,Occasional Bath/Brush,Seasonal,Energetic,Agreeable,Alert/Responsive,"['White', 'White & Black', 'White & Brindle', 'White & Brown', 'White & Tan']","['Tan Markings', 'Brindle Markings', 'Black Markings', 'Red Markings', 'Brown Markings']",-1
american-english-coonhound,"Sweet, Mellow, Sociable",Ranks 175 of 197,"24-26 inches (male), 23-25 inches (female)",45-65 pounds,11-12 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001745/American-English-Coonhound-On-White-03.jpg,https://marketplace.akc.org/puppies/american-english-coonhound,Occasional Bath/Brush,Occasional,Energetic,Agreeable,Alert/Responsive,"['Black', 'Black & Tan', 'Blue', 'Brown', 'Red', 'Red & White', 'Tri-Colored', 'White & Tan']",['Ticked'],https://www.facebook.com/groups/121601217889684/
american-eskimo-dog,"Playful, Perky, Smart",Ranks 122 of 197,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13-15 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001724/American-Eskimo-Dog-On-White-01.jpg,https://marketplace.akc.org/puppies/american-eskimo-dog,Weekly Brushing,Seasonal,Energetic,Eager to Please,Outgoing,"['White', 'White & Biscuit']",[],http://www.aedca.org/
american-foxhound,"Independent, Easy-Going, Sweet-Tempered",Ranks 186 of 197,"22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11-13 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001630/American-Foxhound-On-White-03.jpg,https://marketplace.akc.org/puppies/american-foxhound,Occasional Bath/Brush,Seasonal,Energetic,Independent,Friendly,"['Black White & Tan', 'White Black & Tan', 'Black Brown & White', 'Blue', 'Brown White & Tan', 'Red', 'Tan', 'White', 'White & Cream', 'White & Red']",[],http://www.carolinacoonhoundrescue.com/index.html
